               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.082249,            0.015204,            0.013265,             0.47445,             0.55084,              0.5674,             0.24188,            0.084064,            0.014865,           0.0089554,            0.008614,            0.008614,            0.008614
                  37,            0.081492,            0.014614,            0.013837,             0.46093,             0.66285,             0.56797,             0.18914,             0.07961,            0.014926,           0.0086528,           0.0085744,           0.0085744,           0.0085744
                  38,            0.086348,            0.011479,            0.013617,             0.46093,             0.66285,             0.56797,             0.18914,             0.07961,            0.014926,           0.0086528,           0.0085348,           0.0085348,           0.0085348
                  39,             0.08563,            0.015185,            0.011983,             0.43748,                 0.4,             0.53697,             0.18168,            0.084173,            0.015918,           0.0078577,           0.0084952,           0.0084952,           0.0084952
                  40,            0.083085,            0.012892,            0.010855,             0.43748,                 0.4,             0.53697,             0.18168,            0.084173,            0.015918,           0.0078577,           0.0084556,           0.0084556,           0.0084556
                  41,            0.083134,            0.012591,           0.0099547,             0.67446,             0.66667,             0.71404,             0.13367,            0.087038,            0.015162,           0.0076101,            0.008416,            0.008416,            0.008416
                  42,            0.088574,             0.01396,             0.01129,             0.67446,             0.66667,             0.71404,             0.13367,            0.087038,            0.015162,           0.0076101,           0.0083764,           0.0083764,           0.0083764
                  43,            0.082539,            0.013673,            0.012602,             0.56709,             0.74437,             0.64197,             0.14748,            0.084378,            0.014869,           0.0075038,           0.0083368,           0.0083368,           0.0083368
                  44,            0.086851,            0.010668,            0.010115,             0.38023,             0.31812,             0.38085,              0.1733,             0.09006,            0.014184,            0.007366,           0.0082972,           0.0082972,           0.0082972
                  45,            0.084243,            0.013537,            0.011773,             0.38023,             0.31812,             0.38085,              0.1733,             0.09006,            0.014184,            0.007366,           0.0082576,           0.0082576,           0.0082576
                  46,            0.080041,             0.01331,            0.011146,             0.50708,             0.66667,             0.74435,               0.261,            0.072981,            0.014398,           0.0075669,            0.008218,            0.008218,            0.008218
                  47,            0.072836,            0.014562,            0.010659,             0.50708,             0.66667,             0.74435,               0.261,            0.072981,            0.014398,           0.0075669,           0.0081784,           0.0081784,           0.0081784
                  48,             0.06952,            0.017274,            0.011733,             0.48739,             0.76667,             0.66539,             0.26304,            0.060236,            0.014819,           0.0073984,           0.0081388,           0.0081388,           0.0081388
                  49,            0.065323,            0.013558,            0.010701,             0.48739,             0.76667,             0.66539,             0.26304,            0.060236,            0.014819,           0.0073984,           0.0080992,           0.0080992,           0.0080992
                  50,            0.061296,              0.0153,            0.010899,             0.56333,             0.82652,             0.80295,             0.33767,            0.057516,            0.014483,           0.0072793,           0.0080596,           0.0080596,           0.0080596
                  51,            0.065671,            0.014837,            0.010079,             0.29828,                 0.7,              0.5463,             0.18311,            0.073762,            0.013907,           0.0070528,             0.00802,             0.00802,             0.00802
                  52,            0.070413,            0.012625,            0.011279,             0.29828,                 0.7,              0.5463,             0.18311,            0.073762,            0.013907,           0.0070528,           0.0079804,           0.0079804,           0.0079804
                  53,            0.077197,            0.014357,            0.010356,             0.43405,             0.68572,              0.6444,             0.17722,            0.076891,            0.013406,           0.0064511,           0.0079408,           0.0079408,           0.0079408
                  54,            0.080565,            0.012881,           0.0089938,             0.43405,             0.68572,              0.6444,             0.17722,            0.076891,            0.013406,           0.0064511,           0.0079012,           0.0079012,           0.0079012
                  55,            0.080733,            0.011703,           0.0083931,             0.28135,             0.86667,             0.57187,             0.22232,            0.074691,            0.012864,           0.0062127,           0.0078616,           0.0078616,           0.0078616
                  56,            0.075532,            0.014299,           0.0083578,             0.28135,             0.86667,             0.57187,             0.22232,            0.074691,            0.012864,           0.0062127,            0.007822,            0.007822,            0.007822
                  57,            0.075991,            0.013525,           0.0092415,             0.47168,                 0.7,             0.74024,             0.27675,            0.070785,            0.012673,           0.0061091,           0.0077824,           0.0077824,           0.0077824
                  58,            0.078035,            0.014179,           0.0088829,             0.31517,             0.73333,             0.63981,             0.26327,            0.076353,            0.012354,           0.0063613,           0.0077428,           0.0077428,           0.0077428
                  59,            0.076956,            0.013174,            0.010722,             0.31517,             0.73333,             0.63981,             0.26327,            0.076353,            0.012354,           0.0063613,           0.0077032,           0.0077032,           0.0077032
                  60,            0.075581,             0.01277,           0.0091542,             0.79563,             0.52591,              0.7591,              0.3559,            0.060227,             0.01305,           0.0063499,           0.0076636,           0.0076636,           0.0076636
                  61,            0.069776,             0.01386,           0.0093106,             0.79563,             0.52591,              0.7591,              0.3559,            0.060227,             0.01305,           0.0063499,            0.007624,            0.007624,            0.007624
                  62,            0.068059,            0.012928,           0.0089279,             0.80842,             0.52387,             0.78744,             0.37621,            0.064802,            0.012824,           0.0064743,           0.0075844,           0.0075844,           0.0075844
                  63,            0.068197,            0.012224,           0.0086423,             0.80842,             0.52387,             0.78744,             0.37621,            0.064802,            0.012824,           0.0064743,           0.0075448,           0.0075448,           0.0075448
                  64,            0.075577,            0.015137,            0.010572,             0.84565,             0.56667,             0.80449,             0.41714,            0.064668,            0.012991,           0.0066222,           0.0075052,           0.0075052,           0.0075052
                  65,            0.066652,             0.01187,           0.0084567,             0.85632,             0.48334,             0.74097,             0.24902,            0.069058,              0.0129,           0.0068789,           0.0074656,           0.0074656,           0.0074656
                  66,            0.069457,             0.01205,           0.0093571,             0.85632,             0.48334,             0.74097,             0.24902,            0.069058,              0.0129,           0.0068789,            0.007426,            0.007426,            0.007426
                  67,            0.070028,            0.012431,           0.0098204,             0.96602,             0.57174,              0.7712,             0.32761,             0.05857,             0.01281,           0.0070331,           0.0073864,           0.0073864,           0.0073864
                  68,            0.062677,            0.011913,            0.010312,             0.96602,             0.57174,              0.7712,             0.32761,             0.05857,             0.01281,           0.0070331,           0.0073468,           0.0073468,           0.0073468
                  69,            0.058237,            0.011341,           0.0093383,             0.93131,              0.5191,             0.76086,             0.42982,            0.056477,            0.012482,           0.0069672,           0.0073072,           0.0073072,           0.0073072
                  70,            0.060532,            0.014794,            0.008599,             0.93131,              0.5191,             0.76086,             0.42982,            0.056477,            0.012482,           0.0069672,           0.0072676,           0.0072676,           0.0072676
                  71,            0.059516,            0.013707,            0.010283,             0.92871,             0.51719,             0.75636,             0.42888,               0.058,            0.012203,           0.0071231,            0.007228,            0.007228,            0.007228
                  72,            0.067891,            0.013993,            0.012329,              0.8833,             0.63333,             0.86401,             0.42566,            0.051872,            0.010856,           0.0068209,           0.0071884,           0.0071884,           0.0071884
                  73,            0.056232,            0.013021,            0.010755,              0.8833,             0.63333,             0.86401,             0.42566,            0.051872,            0.010856,           0.0068209,           0.0071488,           0.0071488,           0.0071488
                  74,            0.062099,            0.011404,            0.011099,                   1,             0.62461,              0.9251,             0.55662,            0.051615,            0.010673,           0.0068039,           0.0071092,           0.0071092,           0.0071092
                  75,            0.057092,           0.0098168,           0.0089626,                   1,             0.62461,              0.9251,             0.55662,            0.051615,            0.010673,           0.0068039,           0.0070696,           0.0070696,           0.0070696
                  76,            0.053632,             0.01377,            0.010591,             0.85438,                 0.9,             0.98375,             0.59749,            0.043759,            0.010739,            0.006788,             0.00703,             0.00703,             0.00703
                  77,            0.049343,            0.013441,            0.008456,             0.85438,                 0.9,             0.98375,             0.59749,            0.043759,            0.010739,            0.006788,           0.0069904,           0.0069904,           0.0069904
                  78,            0.052735,            0.012949,           0.0081243,             0.76351,                 0.9,             0.96631,             0.56293,            0.043078,            0.010383,           0.0067243,           0.0069508,           0.0069508,           0.0069508
                  79,            0.050544,            0.013439,           0.0092587,             0.82017,             0.59444,             0.78857,             0.42206,             0.05258,            0.010334,           0.0063846,           0.0069112,           0.0069112,           0.0069112
                  80,            0.058472,             0.01033,           0.0080444,             0.82017,             0.59444,             0.78857,             0.42206,             0.05258,            0.010334,           0.0063846,           0.0068716,           0.0068716,           0.0068716
                  81,            0.060811,            0.013421,           0.0087874,             0.97395,             0.63333,             0.85904,             0.41379,            0.055286,           0.0095367,           0.0060595,            0.006832,            0.006832,            0.006832
                  82,            0.060607,            0.014264,           0.0075828,             0.97395,             0.63333,             0.85904,             0.41379,            0.055286,           0.0095367,           0.0060595,           0.0067924,           0.0067924,           0.0067924
                  83,            0.056155,            0.010374,           0.0072312,             0.81569,             0.86667,             0.93972,             0.53398,            0.048135,           0.0092404,           0.0060736,           0.0067528,           0.0067528,           0.0067528
                  84,            0.052162,            0.010172,           0.0067852,             0.81569,             0.86667,             0.93972,             0.53398,            0.048135,           0.0092404,           0.0060736,           0.0067132,           0.0067132,           0.0067132
